name,date,tempmax,tempmin,avg_temp,dew,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,solarradiation,solarenergy
zhengzhou,2017/10/6,19.7,10,15.4,13.1,87.2,0,10.8,184.5,1019.7,43.7,140.3,12.1
zhengzhou,2017/10/7,19.3,14.8,17.3,15.9,91.6,0,10.8,143.7,1018.1,85.4,68.8,5.8
zhengzhou,2017/10/8,18,16,17.1,17.1,99.9,4.7,18,37.2,1019.6,84.2,36.9,3
zhengzhou,2017/10/9,16.3,16,16,15.6,97.4,2.2,18,15.6,1020.1,75.7,31.8,2.8
zhengzhou,2017/10/10,16,11,12.9,11.6,92,2.6,21.6,359.6,1025,73.8,21.9,1.9
zhengzhou,2017/10/11,13.3,9,11.2,10,92.6,8.9,14.4,13.1,1027.5,83.3,64.5,5.6
zhengzhou,2017/10/12,18,10,13.4,9.8,81.1,5.5,14.4,270.3,1025.5,39.3,143.3,12.3
zhengzhou,2017/10/13,17,10.8,13.5,11.7,89.2,0,7.2,139.1,1022.8,26.3,145.3,12.7
zhengzhou,2017/10/14,17,11,14.2,11.9,86.1,0,10.8,35.1,1025.3,48,125.2,10.7
zhengzhou,2017/10/15,16,13,14.8,12.7,87.6,0,10.9,345.4,1027.4,91.7,58.5,4.9
zhengzhou,2017/10/16,15.2,13,14.4,13.2,92.2,5,14.4,346.1,1030.1,97.9,37.4,3.1
zhengzhou,2017/10/17,14.3,11,13.2,12.3,94.3,4,14.4,36,1028,85.3,21.6,1.8
zhengzhou,2017/10/18,16.3,11,13.4,11.4,88.4,1,10.8,225.9,1024.4,46.2,120.1,10.5
zhengzhou,2017/10/19,21,11,15.4,11.7,81.1,0,10.8,158.7,1021.2,22.2,150.9,13.1
zhengzhou,2017/10/20,22,9,15.1,11.1,80.4,0,10.8,212.5,1020.7,7.8,184.8,15.9
zhengzhou,2017/10/21,21.5,9,15.8,12.3,82.2,0,10.8,194.2,1020.5,22.5,160.6,13.9
zhengzhou,2017/10/22,20.5,10.8,15.3,12.8,86.1,0,14.4,27.7,1021.2,37.1,139.6,12
zhengzhou,2017/10/23,18,12,14.9,8.5,67.5,0,14.4,38.8,1024.7,28,136.4,11.8
zhengzhou,2017/10/24,19,9,14.2,8.1,69.3,0,10.8,114.8,1026.3,16.6,176.1,15.2
zhengzhou,2017/10/25,18.2,13,15.1,10.7,75.7,0,10.8,154.3,1024.5,31.6,66,5.6
zhengzhou,2017/10/26,23,12,16.4,11.7,77.2,0,10.8,255.9,1020.3,18.4,169.4,14.6
zhengzhou,2017/10/27,24.8,10,16.8,10.7,73.1,0,7.2,199.2,1018.6,1.3,174.1,14.9
zhengzhou,2017/10/28,25,9,17,9.4,66.2,0,25.2,5.9,1022.4,16.7,171.5,14.7
zhengzhou,2017/10/29,16,6,11.7,-5.1,32.2,0,28.8,35.9,1033.8,18.1,176.7,15.2
zhengzhou,2017/10/30,17.3,2,10.4,-2.9,45.8,0,10.8,185.9,1031,21,171.6,14.8
zhengzhou,2017/10/31,17.3,8.3,12.8,3.7,55.5,0.4,10.8,193,1022.9,61.6,101.9,8.8
zhengzhou,2017/11/1,19.3,11.8,15.2,11.8,81.1,0,10.8,254,1018.5,25,59.8,5.2
zhengzhou,2017/11/2,25,9,15.9,7.5,65.7,0,28.8,284.5,1017.1,0,164.7,14.1
zhengzhou,2017/11/3,17,10.3,14,4.8,55.1,0,28.8,37,1028.5,4.6,148,12.7
zhengzhou,2017/11/4,16.3,8,12.1,1.2,47.9,0,14.4,139.7,1032.9,19.2,148.5,12.9
zhengzhou,2017/11/5,19,6,12.2,1.4,49.4,0,14.4,158.9,1024.4,7.5,141.5,12.1
zhengzhou,2017/11/6,21.3,6,13.6,6,62.8,0,10.8,176.1,1018.9,0.2,153.3,13.2
zhengzhou,2017/11/7,26,9,16.2,5.6,58.8,0,25.2,290.3,1019.9,12.8,151.6,13.1
zhengzhou,2017/11/8,22.2,7,14.7,6.8,63.7,0,10.8,134,1022.1,1.3,153.3,13.2
zhengzhou,2017/11/9,21,10,15.5,8.5,64.2,0,19.9,174.6,1018.2,36,140.5,12
zhengzhou,2017/11/10,17.5,12,14.9,-0.9,36.9,0.6,32.4,340,1023.7,58.8,154.2,13.5
zhengzhou,2017/11/11,13.3,7,11,-6.8,28.7,0,18,100,1025.8,62.4,133.1,11.5
zhengzhou,2017/11/12,14.7,6,10.7,0.9,51.6,0,14.4,194.8,1019.1,16.5,110.6,9.6
zhengzhou,2017/11/13,20.6,6,13,1.2,50.5,0,21.6,288.5,1018,13,148.7,12.9
zhengzhou,2017/11/14,15,5,10,-5.4,35.5,0,18,23.5,1022.7,20.1,132.4,11.4
zhengzhou,2017/11/15,13,5,9,-5,39.5,0,18,36.6,1022.9,57,145.2,12.6
zhengzhou,2017/11/16,13.6,7,10.2,-0.3,48.4,0,10.8,10.9,1019.7,42.6,120.5,10.5
zhengzhou,2017/11/17,11.2,6.3,9.4,-3.2,44.7,0,25.2,17.5,1021.8,53.6,43.7,3.8
zhengzhou,2017/11/18,5,1,3,-17.6,20.8,0,21.6,36.6,1033.8,41.6,141.3,12.2
zhengzhou,2017/11/19,7,3,4.4,-5.4,55,0,14.4,190.1,1029,38,38.8,3.3
zhengzhou,2017/11/20,13,0.4,5.9,-0.6,72,0,14.5,169.5,1028.9,37.2,135.4,11.7
zhengzhou,2017/11/21,13.8,1,8.4,-0.7,58.3,0,25.2,235.7,1023.8,26.2,124.1,10.7
zhengzhou,2017/11/22,14,7,10.4,-13.6,17.8,0,32.4,297.1,1026.5,69.3,115.6,10.1
zhengzhou,2017/11/23,13,4.6,8.3,-13.7,20.9,0,25.2,265,1026.9,76.8,137,11.8
zhengzhou,2017/11/24,10,2,6.3,-12.5,25.5,0,18,80.7,1027.4,7.8,140.7,12.1
zhengzhou,2017/11/25,19,2,10.3,-10.7,26.2,0,18,254.4,1021.7,0.6,140.5,12
zhengzhou,2017/11/26,11,2,7.3,-7.6,34.4,0,18,13.1,1027,0,136.2,11.9
zhengzhou,2017/11/27,12,1,6.4,-2.3,54.3,0,10.8,261.3,1021.1,16.4,115.4,10
zhengzhou,2017/11/28,18.3,3,10.5,-4.5,39.3,0,28.8,329.5,1021.9,12.1,131.2,11.4
zhengzhou,2017/11/29,8,2.5,3.7,-13,28.8,0,25.2,20.5,1032,79.1,44.3,3.8
zhengzhou,2017/11/30,5,-2,1.5,-10.1,43,0,14.4,50.5,1033.2,44.2,132.2,11.5
zhengzhou,2017/12/1,7.3,-4,2.5,-6.4,53.8,0,7.3,172.5,1031.3,11.4,129.7,11.1
zhengzhou,2017/12/2,12,2.1,6.8,0.9,67.5,0,14.4,185.2,1023.6,10.5,127.2,11
zhengzhou,2017/12/3,12.5,1,5.9,-1.7,62.9,0,21.6,11.3,1024.6,14.4,112.9,9.8
zhengzhou,2017/12/4,7.5,0,3.1,-4.9,57.7,0,14.4,24.4,1031.1,2.5,128.4,11
zhengzhou,2017/12/5,11,-3,3.5,-13,34.9,0,25.2,259.3,1027.1,0,133.3,11.6
zhengzhou,2017/12/6,13,-2.8,4.2,-12.5,35.4,0,25.2,274.7,1021.2,1.5,131.5,11.4
zhengzhou,2017/12/7,11.3,-3,4.8,-12.1,30.7,0,18,344.7,1028.2,5.8,129.3,11.2
zhengzhou,2017/12/8,11,-5,2.9,-14.6,31.7,0,14.4,230.8,1030.9,13.4,131.6,11.5
zhengzhou,2017/12/9,13.8,0,6.8,-12.7,26.1,0.1,43.2,255.8,1017.7,61.7,125.5,11
zhengzhou,2017/12/10,12,5,8,-17.5,14.8,0,39.6,295,1023.4,3.7,129.4,11.2
zhengzhou,2017/12/11,13,1,6.5,-14.4,21.9,0,25.2,345.2,1026.2,36.5,112.4,9.9
zhengzhou,2017/12/12,2,-2,0.1,-11.9,40.3,0,21.6,36.1,1030.4,74.2,104.2,9
zhengzhou,2017/12/13,3,-0.6,1,-10.6,42.1,0.1,21.6,22.6,1031.9,80.8,62.8,5.4
zhengzhou,2017/12/14,0.3,-2,-1.3,-2.4,92.1,0.9,18,355.4,1032.3,100,37.6,3.3
zhengzhou,2017/12/15,7,-2,1.1,-0.8,88,0,18,15.4,1031.3,98.4,118.7,10.2
zhengzhou,2017/12/16,6,-2,2,-15.3,35.2,0,32.4,294.6,1038.6,14.8,130.5,11.4
zhengzhou,2017/12/17,8,-3,2.5,-18.5,21,0,28.8,283.5,1035,18.8,128.7,11.1
zhengzhou,2017/12/18,11.3,2,6.3,-17.5,16.8,0,28.8,290.8,1031.4,1.7,128,11
zhengzhou,2017/12/19,11,2,6.2,-17,17.9,0,25.2,293.1,1035.4,0.7,126.1,10.9
zhengzhou,2017/12/20,13,1,6.4,-14.6,22.2,0,36,285,1033.1,0,126.1,10.9
zhengzhou,2017/12/21,14,-1,6.7,-9.8,31.2,0,14.4,185.9,1027.4,0,124.8,10.9
zhengzhou,2017/12/22,12.7,-2,6.2,-5.2,47.2,0,14.4,62.1,1022.4,23.1,113.7,9.7
zhengzhou,2017/12/23,12.5,2.8,7.1,-6,40.9,0,21.6,307.7,1022.4,25.3,101.7,8.8
zhengzhou,2017/12/24,11,0,6.8,-14.2,21.7,0,36,292.1,1026.3,0,128.3,11
zhengzhou,2017/12/25,11,-6,4,-11.4,34.9,0,14.4,218.5,1025.9,11.1,123.9,10.7
zhengzhou,2017/12/26,9.5,0,4.6,-10.5,33.7,0,21.6,17.6,1027.6,20.9,115.9,10
zhengzhou,2017/12/27,9,-3.3,2.5,-7.7,48.6,0,10.8,162,1025.7,20,122.5,10.6
zhengzhou,2017/12/28,7,-1,2.4,-3.8,64.1,0,14.4,14.9,1025.4,1.3,122.5,10.5
zhengzhou,2017/12/29,9,-3,2.7,-3,68.6,0,14.4,6.7,1028.9,13.7,115.3,9.9
zhengzhou,2017/12/30,13,0,6.2,-11.3,35.4,0,32.4,294.8,1030.8,21.3,121.2,10.5
zhengzhou,2017/12/31,10,-4,2.7,-11.5,36.2,0,14.4,191.2,1026.8,0,130.5,11.3
zhengzhou,2018/1/1,9,-3,3.1,-7.8,46.3,0,14.4,29.6,1023.8,11.3,0,0
zhengzhou,2018/1/2,3,1,2.3,-8.1,47.4,0,28.8,21,1029.7,27.3,3.9,0.3
zhengzhou,2018/1/3,1.3,-3.1,-0.1,-11.4,44.7,0,28.8,27.9,1036.8,66.5,57.8,4.8
zhengzhou,2018/1/4,-2.9,-7,-4.3,-5.3,93.2,80,25.2,22.5,1033.4,91.8,45.9,4
zhengzhou,2018/1/5,0.8,-11,-4.8,-7.5,82.4,0,14.4,195.9,1028.3,33.4,131.6,11.4
zhengzhou,2018/1/6,-1,-3,-2.3,-4.1,87.4,0.1,14.4,35.2,1026.8,66.7,41.9,3.7
zhengzhou,2018/1/7,1.8,-3,-1.1,-3.5,84.4,60,18.1,260.1,1023.2,80.1,126.5,10.9
zhengzhou,2018/1/8,2,-2,0.2,-12.5,38.7,0,50.4,284.9,1025.5,31,143.7,12.2
zhengzhou,2018/1/9,6,-3,1.6,-12.8,34.1,20,32.4,283.1,1025.6,0,145.3,12.4
zhengzhou,2018/1/10,5,-2,1.4,-12.3,36.2,10,32.4,279.7,1029.9,0,145.3,12.5
zhengzhou,2018/1/11,0.2,-5,-1.8,-15.1,36.4,0,21.6,34.1,1035.3,0,144.9,12.4
zhengzhou,2018/1/12,3.5,-6,-1.6,-11.1,49.7,0,14.4,179.2,1033.9,0.1,143.6,12.3
zhengzhou,2018/1/13,5,-4.8,-0.1,-6.2,64.5,0,14.4,175.5,1027.9,19.2,124.8,10.6
zhengzhou,2018/1/14,10,-3,2.7,-3.2,68.8,0,10.8,203.2,1021.7,0,142,12.2
zhengzhou,2018/1/15,8,-2.1,2.5,-1.4,77.9,0,10.8,346.3,1022.3,18.7,120.6,10.4
zhengzhou,2018/1/16,6,-2,3,-3.9,61.9,0,18,345.8,1018.7,14.9,135.1,11.6
zhengzhou,2018/1/17,10,-2,2.6,-2,73.3,0,14.4,171,1018.2,21,132.9,11.4
zhengzhou,2018/1/18,6,0,2.6,-1.4,75.6,0,14.4,22.6,1025.7,30.1,135.1,11.4
zhengzhou,2018/1/19,15,-1,5,-4.2,62.9,0,14.4,240.6,1023.4,18.7,143.6,12.3
zhengzhou,2018/1/20,12,-2,5,-3.9,59.5,0,7.3,214.2,1021.5,23.1,136.5,11.8
zhengzhou,2018/1/21,5,0,2.4,-0.1,84.6,0,18,28,1021.4,85.6,76.6,6.6
zhengzhou,2018/1/22,2,-0.8,0.8,-3.1,75.5,0,18,38.5,1021.7,62.9,72.6,6.4
zhengzhou,2018/1/23,-0.2,-4,-1.9,-9.4,58.1,0,25.2,47.3,1028.3,65.2,139.8,12.1
zhengzhou,2018/1/24,-0.9,-5,-2.5,-11.4,50.8,0,18,38.3,1030.2,74,107.1,9.4
zhengzhou,2018/1/25,-1.8,-5,-3,-13.5,47.5,0.4,21.6,28,1034.3,66.2,73.4,6.3
zhengzhou,2018/1/26,0,-6.5,-2.8,-17,33.7,0,14.4,63.6,1035.4,59.3,130.8,11.2
zhengzhou,2018/1/27,-3,-7,-4.4,-8.4,75,0,14.4,85,1030.7,100,79.3,6.9
zhengzhou,2018/1/28,-2.8,-10,-5.7,-7.6,86.7,10,18,6.7,1031.4,99.1,129.1,11.2
zhengzhou,2018/1/29,4,-5,-1.6,-16.1,35.9,0,28.8,283.6,1031.2,29.3,168.8,14.3
zhengzhou,2018/1/30,6,-7,0.3,-14.5,35.6,0,18,266.3,1028.4,61.6,160.8,13.7
zhengzhou,2018/1/31,6,-1.2,2.5,-20.1,17.9,0,25.2,292.2,1030.5,35.6,165.6,14.3
zhengzhou,2018/2/1,8,-7,1,-14.8,32.6,0,16.2,240.2,1028,37.3,165.7,14.3
zhengzhou,2018/2/2,4,-3,0.9,-20.9,18.6,0,28.8,335.4,1037.1,23.7,174.3,15.2
zhengzhou,2018/2/3,4,-10,-2.5,-20,28.4,0,14.4,273.5,1037.3,0.9,176.4,15.4
zhengzhou,2018/2/4,6,-8,-0.9,-18.3,29.9,0,14.4,282.5,1034.4,0.4,177.5,15.4
zhengzhou,2018/2/5,8,-4,2.1,-19.7,19.7,0,18,327.7,1031.6,0,178.6,15.4
zhengzhou,2018/2/6,7,-5,0.6,-15.3,31,0,10.8,105.6,1028.1,1.9,178.3,15.4
zhengzhou,2018/2/7,10,-4,3,-15.9,28.2,0,32.4,319.8,1025,0,182,15.6
zhengzhou,2018/2/8,7,-6,1.5,-15.3,29,0,18,163.8,1022.1,26,179.2,15.4
zhengzhou,2018/2/9,13,1,6.5,-10.3,32.8,0,25.2,351.5,1018.9,33.9,169.5,14.7
zhengzhou,2018/2/10,7,-0.1,3.5,-20.1,16.3,0,21.7,336.9,1029.7,21.6,173.5,14.9
zhengzhou,2018/2/11,6,-7,0.6,-21.1,22.3,0,39.6,288.6,1030.2,0,191.3,16.5
zhengzhou,2018/2/12,11,-2,3.6,-22.9,13.1,0,39.6,274.2,1029.6,0,192.8,16.6
zhengzhou,2018/2/13,15.5,-5,6.5,-9.7,31.5,0,21.6,202.8,1017.2,2.2,186.5,16.1
zhengzhou,2018/2/14,14,5,8.6,-8.4,33,0,28.8,31.8,1015.5,63.3,128,11
zhengzhou,2018/2/15,8,2,4.6,-12.8,28.2,0,21.6,37.6,1023.6,76.7,96.9,8.4
zhengzhou,2018/2/16,13,0,5.9,-5.9,45.6,0,10.9,106,1020.2,11.7,189.2,16.3
zhengzhou,2018/2/17,7.3,1,5,0.8,75.1,0,18,54.7,1021.5,73.2,124.2,10.9
zhengzhou,2018/2/18,9,4,6.7,1.9,73.6,0.5,18,353.6,1022.7,82.3,147.5,12.8
zhengzhou,2018/2/19,12,1,6.8,-1.7,57.3,0,10.8,119.7,1023.3,28.8,185.3,15.9
zhengzhou,2018/2/20,6,0.5,3.6,0.2,79.9,0,21.6,44.6,1024.8,41.7,102.1,8.8
zhengzhou,2018/2/21,10.2,0.1,4.2,-0.6,75,1,10.8,269.6,1026.6,56.6,141.9,12.2
zhengzhou,2018/2/22,16.1,-1.9,7.6,-7.9,43,0,28.8,248.6,1020.9,0,208.2,17.7
zhengzhou,2018/2/23,18,2,11,-0.2,48.6,0,18,178.7,1015.8,9.3,204.2,17.6
zhengzhou,2018/2/24,10,0,3.5,-9.2,40.7,0,36,31.1,1026.9,31.1,118.3,10.2
zhengzhou,2018/2/25,11.5,-5,4.1,-7.6,44.5,0,14.5,184.1,1025.9,16.4,208.3,17.9
zhengzhou,2018/2/26,19,3.8,10.3,1.6,57.7,0,10.8,171.9,1018.4,14.6,207.2,17.9
zhengzhou,2018/2/27,14,4.7,9.4,5.4,77.2,2.6,21.6,42.3,1015.6,62.4,70.2,6
zhengzhou,2018/2/28,15.2,3,8.6,5.3,80.8,0.1,18,198.1,1012.6,41.6,206.2,17.9
zhengzhou,2018/3/1,13,6,7.6,-3.1,49.7,0,25.2,35,1018.4,66.6,121.6,10.7
zhengzhou,2018/3/2,12.8,2,6.8,3.3,79.2,0,16.2,165.2,1012.6,45.8,202.7,17.4
zhengzhou,2018/3/3,13.8,5,9.4,7.3,87.4,0,25.2,178.6,1005,94.7,213,18.4
zhengzhou,2018/3/4,12,4,8.6,7,89.6,8.7,36,8.5,1013.5,100,19.6,1.8
zhengzhou,2018/3/5,8,1,5,-4.4,55.7,2,25.2,27.7,1027.8,56.4,215,18.7
zhengzhou,2018/3/6,8,2.9,5.3,-1.5,63,0.4,14.4,36.3,1029.8,74.6,68,5.9
zhengzhou,2018/3/7,8.5,3,5.1,1.9,80,1.1,18,307.6,1027,71.7,128.4,11.2
zhengzhou,2018/3/8,9,2,5.1,-2.3,63.3,0,18,54.7,1030.6,3.8,217.9,19
zhengzhou,2018/3/9,12.8,-2,6.1,1.6,74.3,0,21.6,186.6,1024.8,0.3,229.1,19.8
zhengzhou,2018/3/10,20,2,11.2,5,69.6,0.1,21.6,110.8,1019,3.1,227.6,19.5
zhengzhou,2018/3/11,19,7,12.5,4.9,62.2,0,18,47.5,1020.4,5.3,221.2,19
zhengzhou,2018/3/12,22.8,6,15.3,7.8,64.6,0,18,186.4,1013.8,0,230.4,20
zhengzhou,2018/3/13,25.8,9,18.4,10.1,61.2,0,14.5,181.7,1010,6.7,233.6,20.3
zhengzhou,2018/3/14,23.8,13.8,18.8,13.8,73.9,0,16.2,181.7,1009,16.9,227.3,19.5
zhengzhou,2018/3/15,17,6,11.2,5.4,70.4,0,43.2,25.3,1016.4,52.9,102.8,8.8
zhengzhou,2018/3/16,10,2,6.7,-10.3,29.1,0,32.4,36.3,1029,82.3,132.2,11.3
zhengzhou,2018/3/17,8,3,6.2,-2.1,59.4,7,21.6,49.7,1022.5,100,59,5.1
zhengzhou,2018/3/18,7.2,2,4.7,1.5,80.5,2.1,21.6,359.3,1021.7,95.8,85.1,7.3
zhengzhou,2018/3/19,10.3,5,7.4,1.6,67.7,0,18.1,18.2,1022.8,87.5,117.9,10.1
zhengzhou,2018/3/20,11.6,5.8,8.2,-8.6,31.1,0,28.8,19.3,1026.1,48.4,229.7,19.8
zhengzhou,2018/3/21,13,1,7.3,-9.5,31.6,0,10.8,186.4,1023.1,23.5,247.2,21.3
zhengzhou,2018/3/22,22,3,12.6,-0.4,44.2,0,25.2,282.1,1015.1,0.6,245.5,21.1
zhengzhou,2018/3/23,23.5,6,16.4,5.8,52.8,0,21.6,193.4,1014.6,23.9,239.8,20.7
zhengzhou,2018/3/24,22,11.8,16.7,5.9,50.7,0,25.2,34.3,1020.9,10.9,251.1,21.5
zhengzhou,2018/3/25,23.3,7.5,16,6,55.5,0,14.4,194.9,1021.4,12.8,254,22
zhengzhou,2018/3/26,25.8,9,18.4,10.4,63.6,0,18,185.9,1016.6,5.4,243.5,21.2
zhengzhou,2018/3/27,30,12.3,21.3,12.3,60.7,0,18,191.7,1011.2,0,261.9,22.6
zhengzhou,2018/3/28,30.2,14,23,12.6,54.1,0,18,180.1,1009.3,24.2,251.5,21.8
zhengzhou,2018/3/29,21,13.8,17.1,3.6,41.5,0,28.8,34.5,1018.4,0.3,259.3,22.4
zhengzhou,2018/3/30,21.2,10,15.2,-1.4,33.1,0,21.6,43,1021.8,13.8,260,22.4
zhengzhou,2018/3/31,25,10,17.9,10.9,66.3,0,14.4,169.9,1015,2.3,256.4,22.1
zhengzhou,2018/4/1,29,13,22,7.8,50.6,0,18,107.2,1010.6,11.1,260.8,22.5
zhengzhou,2018/4/2,30.5,14,23.3,9.9,48.5,0,14.4,186.3,1007.6,0,269.4,23.4
zhengzhou,2018/4/3,22,9,15.2,4.9,54.1,0,46.8,42.8,1013.5,37.5,252.9,21.9
zhengzhou,2018/4/4,9,3.3,5.9,-1.3,63.6,0,28.8,37.5,1023.1,100,37.1,3.3
zhengzhou,2018/4/5,8,2,4.6,2.8,88,4,21.6,37.4,1021.4,100,82.9,7.3
zhengzhou,2018/4/6,15,5,11.6,-11.2,26.6,0,43.2,311.2,1027.5,51.4,283.3,24.4
zhengzhou,2018/4/7,20,3.6,12.2,-11.8,19.2,0,21.6,252.4,1024.4,0,292.1,25.2
zhengzhou,2018/4/8,29,9.1,18.6,-1.7,31.6,0,18,212.8,1011.2,20.5,290.8,25.2
zhengzhou,2018/4/9,27,14.1,20.7,8.2,46,0,21.6,183.6,1007.2,0,278.3,24
zhengzhou,2018/4/10,29,19,23.9,1.7,27.8,0,32.4,268.6,1004.9,41,246.2,21.5
zhengzhou,2018/4/11,25,16,20.6,5.2,37.4,0.3,21.6,63.8,1011.4,43.5,255,22.1
zhengzhou,2018/4/12,20,11,14.1,9.7,77.8,11,18,45.5,1015.9,100,35.3,3.1
zhengzhou,2018/4/13,12,10,10.3,9.1,92.5,23,21.6,24.5,1018.5,100,33,2.9
zhengzhou,2018/4/14,17.5,8,12.4,6.3,70.1,0.5,10.8,328.8,1019.5,49.2,212.3,18.2
zhengzhou,2018/4/15,20.2,7,14.4,3.5,53,0,10.8,132.2,1020.5,17.4,287.6,24.9
zhengzhou,2018/4/16,22,9.6,16.1,5.1,52.2,0,14.4,176.3,1017.6,0.9,294.4,25.4
zhengzhou,2018/4/17,24,11,17.9,8.9,56.9,0,18,176.6,1014.7,1.3,285.1,24.5
zhengzhou,2018/4/18,27,14.5,21,13.4,63.8,0,16.2,169.8,1010.3,1.7,284.5,24.5
zhengzhou,2018/4/19,29.3,17,23.1,12.8,56.6,0,18,153.8,1009,0,289.7,25
zhengzhou,2018/4/20,29.2,14,23,13.1,56.3,0,18,148.8,1008.4,28.5,274,23.6
zhengzhou,2018/4/21,23,19,20.9,19.5,91.7,4.4,10.8,141.3,1006,73.7,91.3,7.9
zhengzhou,2018/4/22,20,11.7,14.1,11.1,82.3,6.4,43.2,28.4,1013.2,99.8,139.7,12
zhengzhou,2018/4/23,18,11,14.3,10.1,75.8,0,28.8,25.7,1017.9,85.3,164.6,14.3
zhengzhou,2018/4/24,19.8,14,16.1,9.6,67.5,0,18,18.6,1020.9,28.5,140.5,12.2
zhengzhou,2018/4/25,19.5,12,16.1,12.3,79.9,1,14.4,203.8,1017,58.3,163.6,14.2
zhengzhou,2018/4/26,26.5,13,19.5,13.9,73.3,0.2,10.8,200.7,1012.9,22.9,286,24.7
zhengzhou,2018/4/27,28,13,21.5,13.8,66.3,0,10.9,81,1016.3,3.8,299.4,25.8
zhengzhou,2018/4/28,29.8,15,23.5,11.6,53.5,0,18,193.4,1012.8,23.3,299.1,25.8
zhengzhou,2018/4/29,31,20,25.5,13.9,51.8,0,14.4,209.5,1006.4,2.6,294.4,25.5
zhengzhou,2018/4/30,30,17.8,24.2,16.6,64.4,0,21.6,49.6,1008.5,17.9,277.9,24.1
